,0.001,0.013250000000000001,0.025500000000000002,0.037750000000000006,0.05
412,0.725,0.825,0.825,0.875,0.85
413,0.9,0.775,0.9,0.85,0.9
414,0.875,0.9,0.825,0.775,0.85
415,0.9,0.825,0.875,0.775,0.875
416,0.825,0.775,0.825,0.8,0.9
417,0.925,0.875,0.75,0.875,0.775
418,0.8,0.875,0.925,0.825,0.825
419,0.9,0.9,0.925,0.85,0.825
420,0.875,0.875,0.95,0.875,0.825
421,0.775,0.85,0.85,0.85,0.825
422,0.9,0.85,0.825,0.8,0.85
423,0.825,0.85,0.875,0.875,0.8
424,0.9,0.875,0.8,0.8,0.85
425,0.85,0.825,0.85,0.875,0.875
426,0.875,0.825,0.825,0.925,0.875
427,0.85,0.875,0.85,0.825,0.875
428,0.825,0.775,0.8,0.875,0.825
429,0.9,0.95,0.9,0.875,0.725
430,0.825,0.875,0.925,0.875,0.725
431,0.775,0.85,0.825,0.85,0.8
432,0.875,0.8,0.875,0.775,0.85
433,0.9,0.925,0.85,0.775,0.925
434,0.85,0.8,0.825,0.9,0.875
435,0.925,0.85,0.85,0.8,0.875
436,0.875,0.9,0.75,0.925,0.875
437,0.85,0.775,0.85,0.9,0.825
438,0.85,0.825,0.9,0.9,0.875
439,0.775,0.825,0.875,0.85,0.825
440,0.85,0.85,0.9,0.825,0.875
441,0.875,0.9,0.825,0.975,0.85
442,0.85,0.85,0.925,0.875,0.925
443,0.925,0.9,0.825,0.8,0.9
444,0.8,0.875,0.75,0.825,0.85
445,0.85,0.9,0.75,0.8,0.8
446,0.825,0.875,0.95,0.85,0.85
447,0.95,0.825,0.825,0.9,0.925
448,0.825,0.825,0.825,0.925,0.875
449,0.9,0.925,0.875,0.875,0.825
450,0.85,0.975,0.875,0.875,0.9
451,0.775,0.85,0.925,0.85,0.8
452,0.85,0.8,0.775,0.85,0.9
453,0.9,0.9,0.825,0.775,0.875
454,0.95,0.925,0.825,0.75,0.775
455,0.825,0.875,0.925,0.9,0.9
456,0.875,0.875,0.875,0.9,0.85
457,0.825,0.825,0.9,0.725,0.9
458,0.9,0.775,0.8,0.8,0.8
459,0.9,0.9,0.8,0.875,0.825
460,0.925,0.9,0.8,0.875,0.85
461,0.85,0.825,0.85,0.9,0.875
